Weapon	Rarity	MagazineSize	AttackValue	Weight	Durability	ShotInterval	Reload Time	Power/S (DPS)
Advanced Bow	Legendary	1	8700	25	2000	1,667		5219,0
Advanced Bow	Epic	1	7830	25	1500	1,667		4697,1
Advanced Bow	Rare	1	7250	25	1000	1,667		4349,1
Advanced Bow	Uncommon	1	6670	25	750	1,667		4001,2
Advanced Bow	Common	1	5800	25	500	1,667		3479,3
Assault Rifle	Legendary	30	560	15	6000	0,088	2,533	3253,7
Assault Rifle	Epic	28	512	15	5000	0,088	2,533	2874,1
Assault Rifle	Rare	26	448	15	4000	0,088	2,533	2420,3
Assault Rifle	Uncommon	24	400	15	3000	0,088	2,533	2070,2
Assault Rifle	Common	20	320	15	3000	0,088	2,533	1493,0
Bat	Common	1	50	3	150	0,333		150,2
Beam Sword	Common	1	2000	10	500	2,000		1000,0
Beegarde’s Spear	Common	1	150	15	400	0,733		204,5
Charge Rifle	Legendary	10	15000	20	800	1,400	1,933	9414,2
Charge Rifle	Epic	9	14375	20	600	1,400	1,933	8901,9
Charge Rifle	Rare	8	13750	20	400	1,400	1,933	8375,6
Charge Rifle	Uncommon	7	13125	20	300	1,400	1,933	7830,3
Charge Rifle	Common	6	12500	20	200	1,400	1,933	7258,1
Compound Bow	Legendary	1	1650	17	1600	1,667		990,0
Compound Bow	Epic	1	1485	17	1200	1,667		891,0
Compound Bow	Rare	1	1375	17	800	1,667		825,0
Compound Bow	Uncommon	1	1265	17	600	1,667		759,0
Compound Bow	Common	1	1100	17	400	1,667		660,0
Crossbow	Legendary	1	490	13	1400	0,100	2,000	233,3
Crossbow	Epic	1	448	13	1200	0,100	2,000	213,3
Crossbow	Rare	1	406	13	1000	0,100	2,000	193,3
Crossbow	Uncommon	1	364	13	800	0,100	2,000	173,3
Crossbow	Common	1	280	13	300	0,100	2,000	133,3
Dark Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Double-Barreled Shotgun	Legendary	2	399	24	800	0,600	2,333	2032,6
Double-Barreled Shotgun	Epic	2	361	24	600	0,600	2,333	1839,1
Double-Barreled Shotgun	Rare	2	323	24	500	0,600	2,333	1645,5
Double-Barreled Shotgun	Uncommon	2	285	24	400	0,600	2,333	1451,9
Double-Barreled Shotgun	Common	2	190	24	200	0,600	2,333	967,9
Dragon Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Elizabee’s Staff	Common	1	150	20	300	0,733		204,5
Energy Shotgun	Legendary	14	482	20	1200	0,250	3,667	8474,2
Energy Shotgun	Epic	13	462	20	900	0,250	3,667	7815,0
Energy Shotgun	Rare	12	442	20	600	0,250	3,667	7160,4
Energy Shotgun	Uncommon	11	422	20	450	0,250	3,667	6510,9
Energy Shotgun	Common	10	402	20	300	0,250	3,667	5867,0
Excalibur	Legendary	2	540	10	2400	0,333		3243,2
Excalibur	Epic	2	468	10	1800	0,333		2810,8
Excalibur	Rare	2	432	10	1200	0,333		2594,6
Excalibur	Uncommon	2	396	10	900	0,333		2378,4
Excalibur	Common	2	360	10	600	0,333		2162,2
Fire Arrow Crossbow	Legendary	1	490	13	1400	0,100	2,000	233,3
Fire Arrow Crossbow	Epic	1	448	13	1200	0,100	2,000	213,3
Fire Arrow Crossbow	Rare	1	406	13	1000	0,100	2,000	193,3
Fire Arrow Crossbow	Uncommon	1	364	13	800	0,100	2,000	173,3
Fire Arrow Crossbow	Common	1	280	13	300	0,100	2,000	133,3
Fire Bow	Common	1	65	6	150	1,667		39,0
Flamethrower	Legendary	100	954	45	24000	0,250	3,333	3367,1
Flamethrower	Epic	100	858	45	18000	0,250	3,333	3028,2
Flamethrower	Rare	100	795	45	12000	0,250	3,333	2805,9
Flamethrower	Uncommon	100	731	45	9000	0,250	3,333	2580,0
Frag Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Frag Grenade Mk2	Common	1	4000	0,1		0,667	0,000	6000,0
FragGrenade_Water	Common	1	525	10	500	2,000		262,5
Gatling Gun	Legendary	100	562	50	24000	0,100	3,800	4072,5
Gatling Gun	Epic	100	506	50	18000	0,100	3,800	3666,7
Gatling Gun	Rare	100	468	50	12000	0,100	3,800	3391,3
Gatling Gun	Uncommon	100	431	50	9000	0,100	3,800	3123,2
Gatling Gun	Common	100	375	50	6000	0,100	3,800	2717,4
Grass Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Grenade Launcher	Legendary	5	4500	30	2400	0,500	2,500	4500,0
Grenade Launcher	Epic	5	4050	30	1800	0,500	2,500	4050,0
Grenade Launcher	Rare	5	3750	30	1200	0,500	2,500	3750,0
Grenade Launcher	Uncommon	5	3450	30	900	0,500	2,500	3450,0
Grenade Launcher	Common	5	3000	30	600	0,500	2,500	3000,0
Ground Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Guided Missile Launcher	Legendary	1	8850	30	1200	0,100	3,333	2577,7
Guided Missile Launcher	Epic	1	7965	30	900	0,100	3,333	2319,9
Guided Missile Launcher	Rare	1	7375	30	600	0,100	3,333	2148,1
Guided Missile Launcher	Uncommon	1	6785	30	450	0,100	3,333	1976,2
Guided Missile Launcher	Common	1	5900	30	300	0,100	3,333	1718,4
Handgun	Legendary	16	625	8	2400	0,300	1,833	1507,5
Handgun	Epic	14	562	8	2000	0,300	1,833	1304,1
Handgun	Rare	12	500	8	1600	0,300	1,833	1104,3
Handgun	Uncommon	10	437	8	1200	0,300	1,833	904,1
Handgun	Common	8	250	8	400	0,300	1,833	472,4
Hand-Held Torch	Common	1	10	5	100	0,330		30,3
Ice Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Incendiary Grenade	Common	1	750	0,1		0,667	0,000	1125,0
Laser Gatling Gun	Legendary	100	689	50	32000	0,100	3,800	4992,8
Laser Gatling Gun	Epic	100	636	50	24000	0,100	3,800	4608,7
Laser Gatling Gun	Rare	100	609	50	16000	0,100	3,800	4413,0
Laser Gatling Gun	Uncommon	100	583	50	12000	0,100	3,800	4224,6
Laser Gatling Gun	Common	100	530	50	8000	0,100	3,800	3840,6
Laser Rifle	Legendary	30	1875	18	12000	0,380	1,833	4250,6
Laser Rifle	Epic	30	1687	18	9000	0,380	1,833	3824,4
Laser Rifle	Rare	30	1562	18	6000	0,380	1,833	3541,1
Laser Rifle	Uncommon	30	1437	18	4500	0,380	1,833	3257,7
Laser Rifle	Common	30	1250	18	3000	0,380	1,833	2833,8
Legendary Meowmere	Legendary	1	222	22	22222	0,11	0,100	1998,0
Lily’s Spear	Common	1	450	10	500	0,733		613,6
Makeshift Assault Rifle	Legendary	23	297	15	6000	0,125	3,567	1059,3
Makeshift Assault Rifle	Epic	21	255	15	4500	0,125	3,567	864,0
Makeshift Assault Rifle	Rare	19	229	15	3000	0,125	3,567	731,6
Makeshift Assault Rifle	Uncommon	17	204	15	2250	0,125	3,567	608,8
Makeshift Assault Rifle	Common	15	170	15	1500	0,125	3,567	468,2
Makeshift Handgun	Legendary	6	800	10	1500	0,600	2,433	795,6
Makeshift Handgun	Epic	6	720	10	1200	0,600	2,433	716,0
Makeshift Handgun	Rare	6	640	10	900	0,600	2,433	636,5
Makeshift Handgun	Uncommon	6	560	10	600	0,600	2,433	556,9
Makeshift Handgun	Common	6	320	10	300	0,600	2,433	318,2
Makeshift Shotgun	Legendary	1	376	24	800	0,100	3,000	1091,6
Makeshift Shotgun	Epic	1	322	24	600	0,100	3,000	934,8
Makeshift Shotgun	Rare	1	290	24	400	0,100	3,000	841,9
Makeshift Shotgun	Uncommon	1	258	24	300	0,100	3,000	749,0
Makeshift Shotgun	Common	1	215	24	200	0,100	3,000	624,2
Makeshift SMG	Legendary	32	175	15	4000	0,070	4,033	892,7
Makeshift SMG	Epic	30	150	15	3000	0,070	4,033	733,7
Makeshift SMG	Rare	28	135	15	2000	0,070	4,033	630,7
Makeshift SMG	Uncommon	26	120	15	1500	0,070	4,033	533,0
Makeshift SMG	Common	24	100	15	1000	0,070	4,033	420,1
Meat Cleaver	Common	1	25	10	300	0,330		75,8
Meowmere	Common	1	200	22	2222	0,217		923,1
Metal Axe	Common	1	30	15	250	0,333		90,1
Metal Pickaxe	Common	1	30	15	250	0,333		90,1
Metal Spear	Uncommon	1	80	15	250	0,733		109,1
Meteor Launcher	Legendary	1	10500	30	450	0,100	6,000	1721,3
Meteor Launcher	Common	1	2000	30	300	0,100	6,000	327,9
Multi Guided Missile Launcher	Legendary	4	8850	30	1200	0,375	5,556	5017,3
Multi Guided Missile Launcher	Epic	4	7965	30	900	0,375	5,556	4515,6
Multi Guided Missile Launcher	Rare	4	7375	30	600	0,375	5,556	4181,1
Multi Guided Missile Launcher	Uncommon	4	6785	30	450	0,375	5,556	3846,6
Multi Guided Missile Launcher	Common	4	5900	30	300	0,375	5,556	3344,9
Multi Guided Missile Launcher (Swap)	Legendary	4	8850	30	1200	0,375	5,000	5446,2
